"country","population","region","prev_per_1000","prev_total","governance_issues","basic_needs","inequality","disenfranchised_groups","effect_conflict","vulnerability","survivor_support","criminal_justice","coordination","risk_factors","sourcing_reform","government_response","surveyed"
"Greece","10423000","Europe and Central Asia",6.4,66000,17,22,32,52,31,21,68,62,75,64,25,62,0
"Guatemala","17916000","Americas",7.8,140000,54,42,68,65,29,57,59,50,63,43,0,47,1
"Guinea","13133000","Africa",4,53000,75,46,50,74,21,66,36,50,38,29,0,36,0
"Guinea-Bissau","1968000","Africa",4.5,9000,83,75,63,70,11,80,32,35,25,57,0,33,0
"Guyana","787000","Americas",4.2,3000,45,24,61,61,10,41,50,65,63,50,0,51,0
"Haiti","11403000","Americas",8.2,94000,62,58,54,76,29,66,41,38,38,50,0,37,0
"Honduras","9905000","Americas",7,69000,66,41,66,58,33,62,45,54,50,64,0,47,1
"Hong Kong","7497000","Asia and the Pacific",2.8,21000,40,20,19,63,14,28,27,35,38,50,0,32,1
"Hungary","9660000","Europe and Central Asia",6.6,63000,20,20,29,59,12,19,50,58,63,71,25,55,1
"Iceland","341000","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,55,50,38,50,25,47,0
"India","1380004000","Asia and the Pacific",8,11050000,46,48,40,55,80,56,36,58,75,50,0,46,0
"Indonesia","273524000","Asia and the Pacific",6.7,1833000,35,48,46,77,39,49,45,65,50,57,0,50,1
"Iran","83993000","Asia and the Pacific",7.1,597000,80,35,45,82,40,68,-5,19,25,0,0,8,0
"Iraq","40223000","Arab States",5.5,221000,78,44,63,78,83,82,41,38,38,29,0,33,1
"Ireland","4938000","Europe and Central Asia",1.1,5000,14,25,27,18,18,9,59,69,88,64,25,63,0
"Israel","8656000","Europe and Central Asia",3.8,33000,46,32,28,44,25,35,41,50,63,57,0,45,0
"Italy","60462000","Europe and Central Asia",3.3,197000,22,24,38,39,26,22,50,65,63,79,25,59,1
"Jamaica","2961000","Americas",7.3,22000,39,38,79,52,12,45,41,62,88,57,0,51,0
"Japan","126476000","Asia and the Pacific",1.1,144000,17,20,17,40,19,11,45,42,63,57,0,44,0
"Jordan","10203000","Arab States",10,102000,51,38,35,80,27,49,50,54,50,50,0,46,1
"Kazakhstan","18777000","Europe and Central Asia",11.1,208000,54,21,36,68,21,42,45,50,50,64,0,46,0
"Kenya","53771000","Africa",5,269000,57,57,48,68,63,66,55,50,50,50,0,46,0
"Kosovo"," -   ","Europe and Central Asia",8,14000,58,26,34,62,1,40,59,50,50,36,0,45,0
"Kuwait","4271000","Arab States",13,55000,44,31,30,61,31,39,36,42,50,43,0,37,1
"Kyrgyzstan","6524000","Europe and Central Asia",8.7,57000,65,34,42,76,18,55,41,65,63,43,0,47,0
"Lao PDR","7276000","Asia and the Pacific",5.2,38000,57,55,38,60,10,52,59,50,50,43,0,46,0
"Latvia","1886000","Europe and Central Asia",3.4,6000,16,20,34,41,26,17,64,65,63,57,25,59,1
"Lebanon","6825000","Arab States",7.6,52000,59,45,45,74,42,60,32,42,50,29,0,33,1
"Lesotho","2142000","Africa",1.6,4000,62,69,51,56,1,59,36,50,50,43,0,40,0
"Liberia","5058000","Africa",3.1,16000,55,64,39,67,13,56,50,42,50,43,0,41,0
"Libya","6871000","Africa",6.8,47000,76,49,64,66,82,80,-9,35,25,-7,0,10,0
"Liechtenstein"," -   ","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,27,42,25,29,13,31,0
"Lithuania","2722000","Europe and Central Asia",6.1,17000,25,19,29,56,16,21,59,65,50,64,25,58,1
"Luxembourg","626000","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,50,62,50,50,25,51,0
"Madagascar","27691000","Africa",4.6,127000,48,60,65,74,18,60,41,65,25,36,0,42,0
"Malawi","19130000","Africa",4.9,93000,49,52,54,77,15,55,55,46,38,21,0,38,1
