"country","htflowsunodc","prostitutionlaw","prostitutionbrothel","ruleWB_m","pop_ln","gdp_pc_const_ppp_ln","democracy","stockmigrants1990_ln","catholic2","reg_east_asia","reg_west_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa"
"Brunei Darussalam",2,0,0,0.594736814498901,12.5946016311646,10.8259763717651,0,4.29319524765015,3.20000004768372,0,1,0,0,0,0
"Bhutan",1,NA,NA,0.272471100091934,13.1396036148071,7.71154928207397,0,4.52256631851196,11.8090677261353,0,0,0,0,1,0
"Botswana",0,0,0,0.557693660259247,14.2536897659302,8.93123149871826,0,3.31418609619141,9.39999961853027,0,0,0,0,0,1
"Canada",4,1,0,1.77580797672272,17.194938659668,10.2320013046265,1,8.41127681732178,46.5999984741211,0,1,0,0,0,0
"Switzerland",4,1,1,1.99819147586823,15.7672605514526,10.3739442825317,1,7.22722673416138,52.7999992370605,0,1,0,0,0,0
"Channel Islands",NA,NA,NA,1.70984160900116,11.8775405883789,10.3882007598877,1,-0.0657111406326294,79.0194778442383,0,1,0,0,0,0
"Chile",1,1,0,1.15430414676666,16.483434677124,9.12038803100586,1,4.67749071121216,82.0999984741211,0,0,1,0,0,0
"China",4,0,0,-0.361229747533798,20.9096260070801,7.52248287200928,0,5.9306526184082,0,1,0,0,0,0,0
"Cote d'Ivoire",3,1,0,-0.898466408252716,16.5222835540771,7.4484543800354,0,7.50461196899414,18.5,0,0,0,0,0,1
"Cameroon",3,0,0,-1.14665830135345,16.4584465026855,7.40219402313232,0,5.58086109161377,35,0,0,0,0,0,1
"Congo, Rep.",2,NA,NA,-1.50577127933502,14.8388233184814,8.04579925537109,1,4.8644528388977,53.9000015258789,0,0,0,0,0,1
"Colombia",0,0,0,-0.762881636619568,17.4116992950439,8.82465648651123,1,4.64727115631104,96.5999984741211,0,0,1,0,0,0
"Cape Verde",0,NA,NA,0.833037495613098,12.8947048187256,7.51623773574829,1,3.08904218673706,4.94029903411865,0,0,0,0,0,1
"Costa Rica",2,1,0,0.67662900686264,15.0621528625488,8.88283157348633,1,6.03452396392822,90.5,0,0,1,0,0,0
"Cuba",0,1,0,-0.826626658439636,16.2052021026611,8.83369731903076,0,3.54385352134705,32,0,0,1,0,0,0
"Cayman Islands",NA,NA,NA,1.52053356170654,10.3930330276489,11.4786205291748,1,2.17178750038147,80.1365280151367,0,1,0,0,0,0
"Cyprus",4,1,0,0.828410625457764,13.5028419494629,9.90866756439209,1,3.77963376045227,1.29999995231628,0,1,0,0,0,0
"Czech Republic",4,1,0,0.847881972789764,16.1506595611572,9.654953956604,1,6.05091190338135,39.2000007629395,0,1,0,0,0,0
"Germany",5,1,0,1.68822741508484,18.2178535461426,10.234450340271,1,8.68882465362549,35,0,1,0,0,0,0
"Djibouti",1,0,0,-0.701427042484283,13.3435821533203,7.6532769203186,0,4.80565881729126,6.69999980926514,0,0,0,1,0,0
"Dominica",1,NA,NA,0.497746229171753,11.1982145309448,8.72920227050781,1,-0.32420226931572,76.1367111206055,0,0,1,0,0,0
"Denmark",4,0,0,1.86016917228699,15.469539642334,10.2429285049438,1,5.46043634414673,0.600000023841858,0,1,0,0,0,0
"Dominican Republic",3,1,0,-0.540713429450989,15.9102916717529,8.38541984558105,1,5.67401027679443,96.5999984741211,0,0,1,0,0,0
"Algeria",1,0,0,-1.19447779655457,17.1571445465088,8.63606834411621,0,5.61312818527222,0.5,0,0,0,1,0,0
"Ecuador",2,1,1,-0.628464698791504,16.2497177124023,8.63985252380371,1,4.36564302444458,96.4000015258789,0,0,1,0,0,0
"Egypt, Arab Rep.",2,0,0,-0.062463603913784,17.97216796875,8.13317584991455,0,5.16820859909058,0.200000002980232,0,0,0,1,0,0
"Spain",4,1,0,1.31303882598877,17.4889469146729,9.95258903503418,1,6.72106409072876,96.9000015258789,0,1,0,0,0,0
"Estonia",3,1,0,0.517946600914001,14.1780681610107,8.95853042602539,1,5.94542074203491,2,0,1,0,0,0,0
"Finland",3,1,0,1.95158112049103,15.4463186264038,9.99394798278809,1,4.1478853225708,0.100000001490116,0,1,0,0,0,0
"Fiji",1,0,0,0.0508583188056946,13.5514612197876,8.2158613204956,1,2.61739587783813,9,1,0,0,0,0,0
"France",4,1,0,1.36976432800293,17.8732604980469,10.1354513168335,1,8.68225002288818,76.4000015258789,0,1,0,0,0,0
